id,slug,source,cohort,detection_label,attack_vector,behavior,insertion_strategy,gold_status,function_status,gold_security_label,function_label,gold_confidence,gold_reviewer,gold_review_notes,gold_sample_id,local_path,tags
skilldag:citation-management,citation-management,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/citation-management,relational|skilldag
skilldag:civ6lib,civ6lib,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/civ6lib,relational|skilldag
skilldag:conditioning,conditioning,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/conditioning,relational|skilldag
skilldag:constraint-parser,constraint-parser,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/constraint-parser,relational|skilldag
skilldag:contribution-analysis,contribution-analysis,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/contribution-analysis,relational|skilldag
skilldag:csv-processing,csv-processing,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/csv-processing,relational|skilldag
skilldag:custom-distance-metrics,custom-distance-metrics,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/custom-distance-metrics,relational|skilldag
skilldag:cvss-score-extraction,cvss-score-extraction,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/cvss-score-extraction,relational|skilldag
skilldag:d3-visualization,d3-visualization,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/d3-visualization,relational|skilldag
skilldag:data-reconciliation,data-reconciliation,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/data-reconciliation,relational|skilldag
skilldag:data_cleaning,data_cleaning,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/data_cleaning,relational|skilldag
skilldag:dc-power-flow,dc-power-flow,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/dc-power-flow,relational|skilldag
skilldag:dialogue_graph,dialogue_graph,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/dialogue_graph,relational|skilldag
skilldag:did_causal_analysis,did_causal_analysis,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/did_causal_analysis,relational|skilldag
skilldag:discover-important-function,discover-important-function,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/discover-important-function,relational|skilldag
skilldag:docs-to-skill,docs-to-skill,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/docs-to-skill,relational|skilldag
skilldag:docx,docx,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/docx,relational|skilldag
skilldag:dyn-object-masks,dyn-object-masks,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/dyn-object-masks,relational|skilldag
skilldag:economic-dispatch,economic-dispatch,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/economic-dispatch,relational|skilldag
skilldag:egomotion-estimation,egomotion-estimation,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/egomotion-estimation,relational|skilldag
skilldag:elevenlabs-tts,elevenlabs-tts,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/elevenlabs-tts,relational|skilldag
skilldag:energy-calculator,energy-calculator,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/energy-calculator,relational|skilldag
skilldag:enterprise-artifact-search,enterprise-artifact-search,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/enterprise-artifact-search,relational|skilldag
skilldag:erlang-concurrency,erlang-concurrency,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/erlang-concurrency,relational|skilldag
skilldag:erlang-distribution,erlang-distribution,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/erlang-distribution,relational|skilldag
skilldag:erlang-otp-behaviors,erlang-otp-behaviors,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/erlang-otp-behaviors,relational|skilldag
skilldag:excitation-signal-design,excitation-signal-design,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/excitation-signal-design,relational|skilldag
skilldag:exoplanet-workflows,exoplanet-workflows,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/exoplanet-workflows,relational|skilldag
skilldag:feature_engineering,feature_engineering,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/feature_engineering,relational|skilldag
skilldag:ffmpeg,ffmpeg,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/ffmpeg,relational|skilldag
skilldag:ffmpeg-audio-processing,ffmpeg-audio-processing,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/ffmpeg-audio-processing,relational|skilldag
skilldag:ffmpeg-format-conversion,ffmpeg-format-conversion,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/ffmpeg-format-conversion,relational|skilldag
skilldag:ffmpeg-media-info,ffmpeg-media-info,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/ffmpeg-media-info,relational|skilldag
skilldag:ffmpeg-video-editing,ffmpeg-video-editing,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/ffmpeg-video-editing,relational|skilldag
skilldag:ffmpeg-video-filters,ffmpeg-video-filters,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/ffmpeg-video-filters,relational|skilldag
skilldag:file-organizer,file-organizer,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/file-organizer,relational|skilldag
skilldag:filler-word-processing,filler-word-processing,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/filler-word-processing,relational|skilldag
skilldag:find-bugs,find-bugs,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/find-bugs,relational|skilldag
skilldag:finite-horizon-lqr,finite-horizon-lqr,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/finite-horizon-lqr,relational|skilldag
skilldag:first-order-model-fitting,first-order-model-fitting,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/first-order-model-fitting,relational|skilldag
skilldag:fjsp-baseline-repair-with-downtime-and-policy,fjsp-baseline-repair-with-downtime-and-policy,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/fjsp-baseline-repair-with-downtime-and-policy,relational|skilldag
skilldag:flood-detection,flood-detection,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/flood-detection,relational|skilldag
skilldag:fuzzing-python,fuzzing-python,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/fuzzing-python,relational|skilldag
skilldag:fuzzy-match,fuzzy-match,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/fuzzy-match,relational|skilldag
skilldag:fuzzy-name-search,fuzzy-name-search,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/fuzzy-name-search,relational|skilldag
skilldag:gamma-phase-associator,gamma-phase-associator,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/gamma-phase-associator,relational|skilldag
skilldag:gemini-count-in-video,gemini-count-in-video,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/gemini-count-in-video,relational|skilldag
skilldag:gemini-video-understanding,gemini-video-understanding,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/gemini-video-understanding,relational|skilldag
skilldag:geospatial-analysis,geospatial-analysis,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/geospatial-analysis,relational|skilldag
skilldag:gh-cli,gh-cli,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/gh-cli,relational|skilldag
skilldag:glm-basics,glm-basics,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/glm-basics,relational|skilldag
skilldag:glm-calibration,glm-calibration,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/glm-calibration,relational|skilldag
skilldag:glm-output,glm-output,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/glm-output,relational|skilldag
skilldag:gmail-skill,gmail-skill,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/gmail-skill,relational|skilldag
skilldag:gpt-multimodal,gpt-multimodal,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/gpt-multimodal,relational|skilldag
skilldag:gtts,gtts,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/gtts,relational|skilldag
skilldag:harbor,harbor,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/harbor,relational|skilldag
skilldag:hex-grid-spatial,hex-grid-spatial,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/hex-grid-spatial,relational|skilldag
skilldag:hibernate-upgrade,hibernate-upgrade,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/hibernate-upgrade,relational|skilldag
skilldag:hierarchical-taxonomy-clustering,hierarchical-taxonomy-clustering,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/hierarchical-taxonomy-clustering,relational|skilldag
skilldag:image-ocr,image-ocr,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/image-ocr,relational|skilldag
skilldag:image_editing,image_editing,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/image_editing,relational|skilldag
skilldag:imc-tuning-rules,imc-tuning-rules,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/imc-tuning-rules,relational|skilldag
skilldag:integral-action-design,integral-action-design,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/integral-action-design,relational|skilldag
skilldag:jackson-security,jackson-security,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/jackson-security,relational|skilldag
skilldag:jakarta-namespace,jakarta-namespace,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/jakarta-namespace,relational|skilldag
skilldag:jax-skills,jax-skills,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/jax-skills,relational|skilldag
skilldag:lab-unit-harmonization,lab-unit-harmonization,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/lab-unit-harmonization,relational|skilldag
skilldag:lean4-memories,lean4-memories,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/lean4-memories,relational|skilldag
skilldag:lean4-theorem-proving,lean4-theorem-proving,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/lean4-theorem-proving,relational|skilldag
skilldag:light-curve-preprocessing,light-curve-preprocessing,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/light-curve-preprocessing,relational|skilldag
skilldag:locational-marginal-prices,locational-marginal-prices,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/locational-marginal-prices,relational|skilldag
skilldag:lomb-scargle-periodogram,lomb-scargle-periodogram,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/lomb-scargle-periodogram,relational|skilldag
skilldag:manufacturing-failure-reason-codebook-normalization,manufacturing-failure-reason-codebook-normalization,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/manufacturing-failure-reason-codebook-normalization,relational|skilldag
skilldag:map-optimization-strategy,map-optimization-strategy,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/map-optimization-strategy,relational|skilldag
skilldag:marker,marker,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/marker,relational|skilldag
skilldag:matched-filtering,matched-filtering,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/matched-filtering,relational|skilldag
skilldag:maven-build-lifecycle,maven-build-lifecycle,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/maven-build-lifecycle,relational|skilldag
skilldag:maven-dependency-management,maven-dependency-management,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/maven-dependency-management,relational|skilldag
skilldag:maven-plugin-configuration,maven-plugin-configuration,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/maven-plugin-configuration,relational|skilldag
skilldag:memory-optimization,memory-optimization,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/memory-optimization,relational|skilldag
skilldag:mesh-analysis,mesh-analysis,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/mesh-analysis,relational|skilldag
skilldag:meteorology-driver-classification,meteorology-driver-classification,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/meteorology-driver-classification,relational|skilldag
skilldag:mhc-algorithm,mhc-algorithm,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/mhc-algorithm,relational|skilldag
skilldag:modal-gpu,modal-gpu,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/modal-gpu,relational|skilldag
skilldag:mpc-horizon-tuning,mpc-horizon-tuning,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/mpc-horizon-tuning,relational|skilldag
skilldag:multimodal-fusion,multimodal-fusion,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/multimodal-fusion,relational|skilldag
skilldag:nanogpt-training,nanogpt-training,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/nanogpt-training,relational|skilldag
skilldag:nlp-research-repo-package-installment,nlp-research-repo-package-installment,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/nlp-research-repo-package-installment,relational|skilldag
skilldag:nws-flood-thresholds,nws-flood-thresholds,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/nws-flood-thresholds,relational|skilldag
skilldag:obj-exporter,obj-exporter,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/obj-exporter,relational|skilldag
skilldag:object_counter,object_counter,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/object_counter,relational|skilldag
skilldag:obspy-data-api,obspy-data-api,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/obspy-data-api,relational|skilldag
skilldag:obspy-datacenter-client,obspy-datacenter-client,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/obspy-datacenter-client,relational|skilldag
skilldag:openai-tts,openai-tts,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/openai-tts,relational|skilldag
skilldag:openai-vision,openai-vision,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/openai-vision,relational|skilldag
skilldag:output-validation,output-validation,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/output-validation,relational|skilldag
skilldag:parallel-processing,parallel-processing,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/parallel-processing,relational|skilldag
skilldag:pareto-optimization,pareto-optimization,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/pareto-optimization,relational|skilldag
skilldag:pause-detector,pause-detector,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/pause-detector,relational|skilldag
skilldag:pca-decomposition,pca-decomposition,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/pca-decomposition,relational|skilldag
skilldag:pcap-analysis,pcap-analysis,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/pcap-analysis,relational|skilldag
skilldag:pcap-triage-tshark,pcap-triage-tshark,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/pcap-triage-tshark,relational|skilldag
skilldag:pddl-skills,pddl-skills,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/pddl-skills,relational|skilldag
skilldag:pdf,pdf,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/pdf,relational|skilldag
skilldag:pdf-reading,pdf-reading,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/pdf-reading,relational|skilldag
skilldag:pid-controller,pid-controller,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/pid-controller,relational|skilldag
skilldag:planning-with-files,planning-with-files,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/planning-with-files,relational|skilldag
skilldag:power-flow-data,power-flow-data,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/power-flow-data,relational|skilldag
skilldag:powerlifting,powerlifting,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/powerlifting,relational|skilldag
skilldag:pptx,pptx,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/pptx,relational|skilldag
skilldag:pubchem-database,pubchem-database,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/pubchem-database,relational|skilldag
skilldag:pymatgen,pymatgen,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/pymatgen,relational|skilldag
skilldag:python-parallelization,python-parallelization,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/python-parallelization,relational|skilldag
skilldag:python-scala-collections,python-scala-collections,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/python-scala-collections,relational|skilldag
skilldag:python-scala-functional,python-scala-functional,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/python-scala-functional,relational|skilldag
skilldag:python-scala-idioms,python-scala-idioms,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/python-scala-idioms,relational|skilldag
skilldag:python-scala-libraries,python-scala-libraries,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/python-scala-libraries,relational|skilldag
skilldag:python-scala-oop,python-scala-oop,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/python-scala-oop,relational|skilldag
skilldag:python-scala-syntax-mapping,python-scala-syntax-mapping,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/python-scala-syntax-mapping,relational|skilldag
skilldag:qutip,qutip,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/qutip,relational|skilldag
skilldag:rdkit,rdkit,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/rdkit,relational|skilldag
skilldag:react-best-practices,react-best-practices,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/react-best-practices,relational|skilldag
skilldag:reflow-profile-compliance-toolkit,reflow-profile-compliance-toolkit,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/reflow-profile-compliance-toolkit,relational|skilldag
skilldag:reflow_machine_maintenance_guidance,reflow_machine_maintenance_guidance,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/reflow_machine_maintenance_guidance,relational|skilldag
skilldag:report-generator,report-generator,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/report-generator,relational|skilldag
skilldag:restclient-migration,restclient-migration,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/restclient-migration,relational|skilldag
skilldag:safety-interlocks,safety-interlocks,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/safety-interlocks,relational|skilldag
skilldag:sampling-and-indexing,sampling-and-indexing,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/sampling-and-indexing,relational|skilldag
skilldag:scipy-curve-fit,scipy-curve-fit,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/scipy-curve-fit,relational|skilldag
skilldag:search-accommodations,search-accommodations,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/search-accommodations,relational|skilldag
skilldag:search-attractions,search-attractions,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/search-attractions,relational|skilldag
skilldag:search-cities,search-cities,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/search-cities,relational|skilldag
skilldag:search-driving-distance,search-driving-distance,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/search-driving-distance,relational|skilldag
skilldag:search-flights,search-flights,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/search-flights,relational|skilldag
skilldag:search-restaurants,search-restaurants,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/search-restaurants,relational|skilldag
skilldag:segment-combiner,segment-combiner,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/segment-combiner,relational|skilldag
skilldag:seisbench-model-api,seisbench-model-api,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/seisbench-model-api,relational|skilldag
skilldag:seismic-picker-selection,seismic-picker-selection,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/seismic-picker-selection,relational|skilldag
skilldag:senior-data-engineer,senior-data-engineer,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/senior-data-engineer,relational|skilldag
skilldag:senior-data-scientist,senior-data-scientist,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/senior-data-scientist,relational|skilldag
skilldag:senior-java,senior-java,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/senior-java,relational|skilldag
skilldag:senior-security,senior-security,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/senior-security,relational|skilldag
skilldag:setup-env,setup-env,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/setup-env,relational|skilldag
skilldag:silence-detector,silence-detector,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/silence-detector,relational|skilldag
skilldag:simulation-metrics,simulation-metrics,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/simulation-metrics,relational|skilldag
skilldag:skill-creator,skill-creator,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/skill-creator,relational|skilldag
skilldag:skillsbench,skillsbench,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/skillsbench,relational|skilldag
skilldag:speaker-clustering,speaker-clustering,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/speaker-clustering,relational|skilldag
skilldag:speech-to-text,speech-to-text,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/speech-to-text,relational|skilldag
skilldag:spring-boot-migration,spring-boot-migration,skilldag,skills_200,benign,,,,benchmark_label,auto_labeled_v1,,Other,,,,,skills/spring-boot-migration,relational|skilldag
